Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population,Population Group,Death Rate
121,Ghana,171112.0,1462.0,169636.0,14.0,2527319.0,32395450.0,10M - 50M,0.8544111459161251
122,Namibia,170741.0,4088.0,166452.0,201.0,1062663.0,2633874.0,1M - 10M,2.394269683321522
123,Uganda,170400.0,3630.0,100431.0,66339.0,3012408.0,48432863.0,10M - 50M,2.130281690140845
124,Jamaica,153407.0,3480.0,102212.0,47715.0,1183986.0,2985094.0,1M - 10M,2.268475362923465
125,Cambodia,138693.0,3056.0,135624.0,13.0,3091420.0,17168639.0,10M - 50M,2.203427714448458
126,Rwanda,133090.0,1468.0,131559.0,63.0,5959042.0,13600464.0,10M - 50M,1.103012998722669
127,Cameroon,123993.0,1965.0,118616.0,3412.0,1751774.0,27911548.0,10M - 50M,1.5847668820014034
128,Malta,117062.0,824.0,115623.0,615.0,2109235.0,444033.0,< 1M,0.7039004971724385
129,Barbados,106157.0,571.0,105570.0,16.0,790354.0,288023.0,< 1M,0.5378825701555244
130,Angola,105184.0,1931.0,103216.0,37.0,1499795.0,35027343.0,10M - 50M,1.8358305445695162
131,Channel Islands,101116.0,223.0,100778.0,115.0,1252808.0,176463.0,< 1M,0.22053878713556707
132,French Guiana,98028.0,420.0,11254.0,86354.0,651257.0,314169.0,< 1M,0.42844901456726653
133,DRC,95514.0,1463.0,84264.0,9787.0,846704.0,95240792.0,50M - 100M,1.5317126285151914
134,Senegal,88902.0,1971.0,86929.0,2.0,1146543.0,17653671.0,10M - 50M,2.21704798542215
135,Malawi,88559.0,2686.0,85369.0,504.0,624784.0,20180839.0,10M - 50M,3.033006244424621
136,Ivory Coast,87982.0,833.0,87138.0,11.0,1671684.0,27742298.0,10M - 50M,0.9467845695710486
137,Suriname,82020.0,1398.0,0.0,0.0,239603.0,596831.0,< 1M,1.7044623262618872
138,New Caledonia,79845.0,314.0,79526.0,5.0,98964.0,290915.0,< 1M,0.39326194501847334
139,French Polynesia,77957.0,649.0,0.0,0.0,0.0,284164.0,< 1M,0.8325102299985889
140,Eswatini,74133.0,1422.0,72676.0,35.0,1048704.0,1184817.0,1M - 10M,1.9181740925094086
141,Guyana,72950.0,1294.0,71357.0,299.0,717867.0,794045.0,< 1M,1.7738176833447565
142,Belize,70660.0,688.0,69949.0,23.0,576016.0,412190.0,< 1M,0.9736767619586754
143,Fiji,68820.0,883.0,66780.0,1157.0,667715.0,909466.0,< 1M,1.2830572507991862
144,Madagascar,67827.0,1419.0,66370.0,38.0,524209.0,29178077.0,10M - 50M,2.092087221902782
145,Sudan,63742.0,5001.0,58284.0,457.0,562941.0,45992020.0,10M - 50M,7.845690439584575
146,Mauritania,63665.0,997.0,62437.0,231.0,1009957.0,4901981.0,1M - 10M,1.5660095814026547
